IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
0.0,6.9,7.5,8.1,5.8,0,9.0,8.8,3.14,6.875,7.8,-2.0
10.0,9.5,6.3,7.9,7.8,0,8.0,9.4,3.77,7.8125,8.3,-1.0
10.0,8.3,7.5,8.5,6.8,0,0.0,7.9,7.52,8.28125,5.4,-1.0
9.2,8.1,6.9,8.1,7.8,0,10.0,8.7,3.14,7.083333333,5.4,0.0
9.5,9.3,7.5,8.1,7.0,0,9.0,9.6,7.52,7.5,9.3,-2.0
9.5,6.9,7.5,8.1,3.0,1,9.0,9.2,7.52,7.5,6.2,-1.0
0.0,8.1,7.5,7.5,3.0,0,8.5,10.0,7.52,5.625,6.3,-2.0
9.0,7.4,7.5,7.9,6.3,0,8.5,7.0,7.52,6.458333333,2.7,-1.0
10.0,10.0,6.3,7.5,6.8,0,10.0,10.0,3.77,7.8125,7.3,-1.0
9.0,9.0,7.5,9.2,5.3,1,0.0,9.5,7.52,7.5,7.9,0.0
8.5,9.3,7.5,9.2,8.3,0,8.5,9.6,7.52,7.96875,8.1,0.0
9.0,7.6,5.6,8.3,6.8,0,0.0,8.9,3.14,6.25,8.3,-1.0
9.5,10.0,5.6,9.0,6.0,0,9.5,8.8,3.14,8.75,8.3,-2.0
10.0,10.0,6.3,8.8,8.0,0,10.0,10.0,7.52,8.125,6.3,0.0
8.0,9.0,5.6,8.8,7.3,0,7.4,7.7,3.77,8.59375,6.2,0.0
9.5,9.0,7.5,8.5,8.3,0,10.0,8.3,7.52,7.291666667,6.3,-1.0
10.0,10.0,7.5,9.0,8.0,1,9.5,9.4,7.52,7.5,8.0,0.0
9.5,7.9,7.5,7.5,7.8,1,8.5,9.8,2.52,7.5,7.5,-1.0
9.5,9.8,6.3,9.0,9.5,0,9.0,9.6,7.52,7.5,8.2,-1.0
10.0,10.0,6.3,9.5,10.0,1,10.0,9.8,7.52,7.5,9.3,0.0
9.0,8.9,6.3,5.9,5.5,0,0.0,8.7,2.52,5.3125,6.2,-1.0
10.0,10.0,7.5,9.1,9.8,0,10.0,9.5,7.52,7.5,9.2,-1.0
9.5,6.0,6.9,7.1,3.3,0,8.0,7.5,7.52,7.5,7.8,-2.0
9.5,9.5,6.3,8.3,8.5,1,9.5,9.2,3.77,7.1875,9.0,0.0
9.0,8.9,5.6,8.1,5.0,0,9.0,10.0,7.52,7.5,5.4,-2.0
9.0,6.9,6.3,8.1,8.5,1,7.4,8.8,3.14,6.5625,8.3,0.0
9.5,8.9,6.3,8.1,7.8,1,0.0,8.3,3.14,7.1875,7.7,0.0
8.5,5.3,7.5,8.1,3.3,0,9.0,7.7,7.52,6.875,7.2,-2.0
9.0,9.5,6.3,8.1,7.8,1,8.5,9.4,3.77,6.25,7.0,0.0
9.0,8.9,6.3,7.7,5.3,0,0.0,9.2,3.14,6.875,7.9,-2.0
7.5,9.3,7.5,7.9,7.8,0,9.0,9.1,7.52,7.5,7.8,-1.0
9.0,8.0,6.3,8.1,5.5,0,10.0,9.1,7.52,7.5,7.9,-2.0
9.0,9.1,7.5,7.5,6.3,1,0.0,9.8,5.02,5.625,6.3,0.0
10.0,8.4,7.5,6.9,8.3,1,0.0,9.1,2.52,5.625,8.6,0.0
9.0,9.3,5.6,6.9,2.3,0,9.0,7.8,3.14,7.708333333,5.8,-1.0
8.5,10.0,6.3,7.5,7.5,1,9.0,9.3,2.52,5.625,6.8,0.0
10.0,9.3,6.3,7.1,8.5,1,9.5,9.1,2.52,5.625,8.3,0.0
7.5,9.5,5.6,6.5,9.0,0,8.0,8.5,7.52,5.833333333,6.9,0.0
9.0,9.1,7.5,7.7,7.5,1,0.0,9.8,6.27,6.875,7.3,0.0
9.5,10.0,7.5,8.3,7.8,0,7.9,8.1,7.52,6.25,8.5,-1.0
8.5,9.5,4.4,7.0,6.0,0,0.0,9.1,7.52,6.25,6.8,-1.0
8.5,6.9,7.5,7.7,6.8,0,8.5,8.3,6.27,6.875,7.8,-1.0
9.0,7.9,7.5,7.5,7.0,1,9.5,9.1,7.52,6.25,8.0,-1.0
9.0,10.0,7.5,8.1,8.8,1,10.0,10.0,2.52,7.5,8.7,-1.0
7.5,9.8,7.5,8.1,7.5,1,9.5,9.8,7.52,7.5,8.5,-1.0
9.5,7.9,6.3,7.2,6.0,1,9.5,8.1,2.52,7.5,8.3,-1.0
