RA,Fase_2024,INDE_2024,Pedra_2024,Turma_2024,Idade_2024,Genero_2024,Ano_Ingresso_2024,Instituicao_Ensino_2024,IAA_2024,IEG_2024,IPS_2024,IPP_2024,IDA_2024,Mat_2024,Por_2024,Ing_2024,IPV_2024,IAN_2024,Fase_Ideal_2024,Defasagem_2024,Escola_2024,Fase_2023,INDE_2023,Pedra_2023,Turma_2023,Idade_2023,Genero_2023,Ano_Ingresso_2023,Instituicao_Ensino_2023,IAA_2023,IEG_2023,IPS_2023,IPP_2023,IDA_2023,Mat_2023,Por_2023,Ing_2023,IPV_2023,IAN_2023,Fase_Ideal_2023,Defasagem_2023,Fase_2022,Turma_2022,Idade_2022,Genero_2022,Ano_Ingresso_2022,Instituicao_Ensino_2022,Pedra_2022,INDE_2022,Cg_2022,Cf_2022,Ct_2022,Rec_Av1_2022,Rec_Av2_2022,IAA_2022,IEG_2022,IPS_2022,Rec_Psicologia_2022,IDA_2022,Mat_2022,Por_2022,Ing_2022,Indicado_2022,Atingiu_PV_2022,IPV_2022,IAN_2022,Fase_Ideal_2022,Defasagem_2022,Destaque_IEG_2022,Destaque_IDA_2022,Destaque_IPV_2022,IPP_2022
904,ALFA,7.6352,Ametista,ALFA F - G0/G1,8,Feminino,2023,Pública,9.5,8.8,7.5,7.5,6.0,6.0,6.0,0.0,8.7,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,ALFA,8.140783333,Topázio,ALFA F - G0/G1,7.0,Feminino,2023.0,Pública,9.0,9.3,7.52,7.8125,6.4,6.0,6.8,0.0,7.836666667,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,ALFA,7.623866667,Ametista,ALFA F - G0/G1,8,Feminino,2024,Pública,8.5,8.8,2.5,7.5,9.0,10.0,8.0,0.0,8.6,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,ALFA,5.634533333,Quartzo,ALFA F - G0/G1,8,Masculino,2024,Pública,9.5,2.9,2.5,7.5,7.0,10.0,4.0,0.0,6.0,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,ALFA,5.758866667,Quartzo,ALFA F - G0/G1,8,Masculino,2024,Pública,10.0,5.4,2.5,6.3,4.0,4.0,4.0,0.0,5.0,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,ALFA,8.8352,Topázio,ALFA F - G0/G1,8,Feminino,2024,Pública,10.0,10.0,2.5,7.5,10.0,10.0,10.0,0.0,9.2,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,ALFA,7.085119935,Ametista,ALFA G - G2/G3,10,Feminino,2024,Pública,9.0,8.0,8.1,7.8,6.0,6.0,6.0,0.0,6.5,5.0,Fase 2 (5° e 6° ano),-2,EM Maria Ignez Concelles Irma Ines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,ALFA,6.68522193,Agata,ALFA G - G2/G3,10,Feminino,2024,Pública,8.5,8.7,2.5,7.8,4.8,2.0,7.5,0.0,8.1,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,ALFA,8.503033333,Topázio,ALFA G - G2/G3,8,Feminino,2024,Pública,9.0,10.0,8.1,7.5,9.8,10.0,9.5,0.0,7.9,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,ALFA,7.665116667,Ametista,ALFA G - G2/G3,10,Feminino,2022,Pública,9.0,9.8,2.5,7.8,9.3,10.0,8.5,0.0,7.2,5.0,Fase 2 (5° e 6° ano),-2,EM Maria Ignez Concelles Irma Ines,ALFA,8.239866667,Topázio,ALFA F - G0/G1,9.0,Feminino,2022.0,Pública,10.0,10.0,5.63,7.5,9.3,9.3,9.3,0.0,7.833333333,5.0,Fase 1 (3° e 4° ano),-1.0,0.0,F,8.0,Menina,2022.0,Escola Pública,Ametista,7.387,366.0,110.0,5.0,Mantido na Fase atual,Mantido na Fase atual,10.0,8.6,5.0,Não indicado,6.8,7.0,6.7,0.0,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.069999999999993
725,ALFA,7.090077193,Ametista,ALFA G - G2/G3,10,Masculino,2022,Pública,7.5,7.7,7.5,7.5,7.3,7.0,7.5,0.0,6.8,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,ALFA,8.117366667,Topázio,ALFA F - G0/G1,9.0,Masculino,2022.0,Pública,9.5,9.0,7.52,8.125,8.4,8.1,8.7,0.0,8.113333333,5.0,Fase 1 (3° e 4° ano),-1.0,0.0,H,8.0,Menino,2022.0,Escola Pública,Ágata,6.33,675.0,175.0,7.0,Mantido na Fase atual,Mantido na Fase atual,8.0,5.9,8.1,Não atendido,5.0,4.0,6.0,0.0,Não,Não,5.5,10.0,ALFA  (2º e 3º ano),0.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.399999999999995
912,ALFA,7.697103509,Ametista,ALFA G - G2/G3,10,Feminino,2023,Pública,9.0,9.5,7.5,8.1,7.3,7.0,7.5,0.0,6.9,5.0,Fase 2 (5° e 6° ano),-2,EM Maria Ignez Concelles Irma Ines,ALFA,7.0797,Ametista,ALFA G - G2/G3,9.0,Feminino,2023.0,Pública,7.0,9.4,7.52,5.625,6.3,6.2,6.3,0.0,7.175,5.0,Fase 1 (3° e 4° ano),-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,ALFA,5.657357018,Quartzo,ALFA G - G2/G3,8,Feminino,2023,Pública,7.9,8.7,2.5,5.9,2.8,1.0,4.5,0.0,6.2,5.0,Fase 1 (3° e 4° ano),-1,EM Maria Ignez Concelles Irma Ines,ALFA,7.4967,Ametista,ALFA H - G0/G1,7.0,Feminino,2023.0,Pública,10.0,8.7,2.52,5.625,7.7,7.1,8.3,0.0,7.01,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
